HangMan	ШИБЕНИЦЯ
@All rights reserved	@ВСІ ПРАВА ЗАХИЩЕНІ
START	РОЗПОЧАТИ ГРУ
HIGHSCORE TABLE	ТАБЛИЦЯ РЕЗУЛЬТАТІВ
OPTIONS	ОПЦІЇ
EXIT	ВИЙТИ
Player	Гравець
Score	Бали
Difficulty	Складність
Letters	К-сть Букв
DIFFICULTY  	 СКЛАДНІСТЬ    
Easy	НИЗЬКА
Medium	СЕРЕДНЯ
Hard	ВИСОКА
LANGUAGE  	МОВА    
English	АНГЛІЙСЬКА
Ukrainian	УКРАЇНСЬКА
Press ESC to back	НАЖМІТЬ ESC ЩОБ ПОВЕРНУТИСЬ НАЗАД
Score:	БАЛИ:
HP:	ОЗ:
Letters:	К-СТЬ БУКВ:
Used Letters:	ВЖИТІ ЛІТЕРИ:
You won	ВИ ВИГРАЛИ
You lost!!!	ВИ ПРОГРАЛИ!!!
Your score:	ВИ НАБРАЛИ:
Input your name now:	Введіть своє ім'я: 
Your score is high enough	Ви набрали достатньо балів
Your score is not high enough	Ви не набрали достатньо балів
Press enter to continue	НАЖМІТЬ enter ЩОБ ПРОДОВЖИТИ
Input your answer:	Введіть свою відповідь:
Game over	Гра закінчена
You nicked it	Ви вгадали задане слово  
SEX   	СТАТЬ   
Male	ЧОЛОВІЧА
Female	ЖІНОЧА
Congratulations	Вітання
You have achieved maximum score for this level	Ви досягли максимально можливого результату на цьому рівні складності
Press ESC to finish the game	Нажміть ESC, щоб завершити гру
Press ENTER to start new game on higher level or ESC to finish the game	Нажміть ENTER щоб почати гру на вищому рівні складності або ESC, щоб вийти
Sex	Стать

